field_id,area_weighted_aws025wta,dominant_mukey,dominant_musym,dominant_muname,dominant_mapunit_percent,mapunit_count,coverage_percent,CSBACRES,crop_2020,crop_2021,crop_2022,crop_2023,dominant_pct_2023,valid_pixels_2023,mean_dominant_pct,crop_transition_count,unique_dominant_crop_count,rotation_diversity_score,water_storage_score,slope_resilience_score,erosion_history_score,soil_sustainability_score,area_weighted_slope_midpoint_pct,eroded_mapunit_fraction_pct,relative_condition_class,field_short_id,water_storage_percentile,classification_confidence_gap,ndvi_mean,ndvi_date,priority_general_field_review,priority_irrigation_monitoring,priority_crop_scouting,priority_soil_conservation,priority_rotation_planning
451623001001248,2.959454223675554,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",97.63644408110252,2,99.99999999999078,3.94903448516544,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,77.777778,18,63.888889250000005,0,1,0.0,36.0,56.00000000000001,97.63644408111176,47.40911102027793,4.20090225310552,2.3635559188882493,Higher conservation priority,1248,36.0,36.111110749999995,,,52.591,58.718,46.633,37.457,85.777
451623001001250,2.9542755797513345,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",89.31105062163189,3,99.99999999996368,12.640829411592978,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,84.745763,59,85.59322025,0,1,0.0,28.000000000000004,28.000000000000004,100.0,39.0,5.459772552171777,0.0,Higher conservation priority,1250,28.000000000000004,14.406779749999998,,,61.0,69.8,39.903,49.05,88.3
451623001001251,3.064170033479182,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",78.01915015397485,3,100.0,4.437590129467583,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,50.0,20,58.75,1,2,40.56390622295664,56.00000000000001,12.0,100.0,52.14097655573916,7.120766006158674,0.0,Higher conservation priority,1251,56.00000000000001,41.25,,,47.859,51.372,43.783,47.937,55.963
451623001001257,2.9640460848463794,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",64.88478788405143,3,99.9999999999994,19.14119405324898,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,81.176471,85,85.88235325,0,1,0.0,40.0,16.0,100.0,39.0,6.387761370833397,0.0,Higher conservation priority,1257,40.0,14.117646750000006,0.7622188084016785,2023-07-27,61.0,63.8,37.359,52.65,88.3
451623001001258,3.091935725126886,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",48.05159659133975,3,100.0,8.885457754892826,Oats,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Winter Wheat,41.463415,41,56.09756125,2,3,75.0,60.0,20.0,100.0,63.75,5.922063863653483,0.0,Stronger relative condition,1258,60.0,43.90243875,,,36.25,45.25,40.826,40.312,28.375
451623001001259,3.4411194060167194,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",89.29443745761073,2,100.0,3.6844874367323,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,73.684211,19,69.7368425,0,1,0.0,80.0,90.0,100.0,67.5,4.0,0.0,Stronger relative condition,1259,80.0,30.263157500000005,,,32.5,21.0,28.882,17.625,79.75
451623001001261,2.9580786669857435,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",79.80333253563659,2,99.99999999999255,4.376599028571515,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,Other Hay/Non Alfalfa,60.0,20,60.0,2,2,40.56390622295664,32.0,40.0,100.0,53.14097655573916,4.8078666985743,0.0,Moderate relative condition,1261,32.0,40.0,,,46.859,62.572,47.658,39.087,55.663
451623001001262,3.138778218797042,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",34.05768041349231,3,100.0,15.70476291622756,Oats,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Grassland/Pasture,35.616438,73,44.86301325,2,3,75.0,64.0,60.0,100.0,74.75,4.146097652287084,0.0,Stronger relative condition,1262,64.0,55.13698675,,,25.25,34.45,42.343,23.362,25.075
451623001001264,2.950436710064092,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",98.90822483977117,2,100.0,5.923776287733908,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,64.0,25,57.0,1,2,40.56390622295664,16.0,68.0,100.0,56.14097655573916,4.04367100640921,0.0,Moderate relative condition,1264,16.0,43.0,,,43.859,68.172,51.458,29.337,54.763
451623001001266,3.2960654192499894,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",40.10654133302054,3,99.99999999999388,14.144361343838874,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,78.461538,65,71.53846125,0,1,0.0,72.0,32.0,100.0,51.0,4.965226476295101,0.0,Higher conservation priority,1266,72.0,28.461538750000003,,,49.0,38.2,34.531,42.45,84.7
451623001001267,3.5,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",100.0,1,100.0,4.753304821959788,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,100.0,19,96.0526315,0,1,0.0,98.0,90.0,100.0,72.0,4.0,0.0,Stronger relative condition,1267,98.0,3.947368499999996,,,28.0,8.4,10.774,15.6,78.4
451623001001281,3.055397267125356,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",79.73129478360278,2,100.0,4.132697886258406,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,50.0,18,54.16666675,1,2,40.56390622295664,52.0,36.0,100.0,57.14097655573916,4.8107482086565865,0.0,Moderate relative condition,1281,52.0,45.83333325,,,42.859,49.372,45.374,38.487,54.463
451623001001285,2.9537392338279647,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.28091657154016,2,99.9999999999948,4.641658947719539,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,76.190476,21,77.38095225,0,1,0.0,24.0,72.0,100.0,49.0,4.028763337138188,0.0,Higher conservation priority,1285,24.0,22.619047749999993,,,51.0,63.8,41.81,31.35,85.3
451623001001295,3.232059965372021,1154993,CcD,"Cecil-Cataula complex, 10 to 15 percent slopes, moderately eroded",70.49791257167404,3,100.0,3.308253514560647,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,53.846154,13,67.3076925,1,2,40.56390622295664,68.0,4.0,29.502087428325964,35.51649841282065,9.99232256859021,70.49791257167404,Higher conservation priority,1295,68.0,32.6923075,,,64.484,48.097,42.091,75.442,60.95
451623001001299,3.4966762261318145,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.9207537727314,2,100.0,5.048982917619439,Other Hay/Non Alfalfa,Grassland/Pasture,Grassland/Pasture,Grassland/Pasture,68.181818,22,69.31818200000001,1,2,40.56390622295664,88.0,48.0,100.0,69.14097655573916,4.443169849091396,0.0,Stronger relative condition,1299,88.0,30.681817999999993,,,30.859,21.772,26.999,29.487,50.863
